../saved_models/ensemble_fasttext_cnn_cntvecnb_lr
CV round                0         1         2         3         4      mean       std
train_acc        0.999941  0.999882  0.999823  0.999882  0.999882  0.999882  0.000037
train_auc        1.000000  1.000000  1.000000  1.000000  1.000000  1.000000  0.000000
train_f1         0.999927  0.999855  0.999783  0.999855  0.999855  0.999855  0.000046
train_precision  1.000000  1.000000  0.999565  1.000000  1.000000  0.999913  0.000174
train_recall     0.999855  0.999710  1.000000  0.999710  0.999710  0.999797  0.000116
val_acc          0.972399  0.967194  0.973330  0.971442  0.976398  0.972153  0.002986
val_auc          0.995384  0.995079  0.996576  0.996708  0.996731  0.996096  0.000714
val_f1           0.966018  0.959815  0.967122  0.965379  0.970981  0.965863  0.003595
val_precision    0.967986  0.956772  0.970228  0.952569  0.971545  0.963820  0.007672
val_recall       0.964058  0.962877  0.964037  0.978538  0.970418  0.967986  0.005906
