../saved_models/lr_cntvec
CV round                0         1         2         3         4      mean       std
train_acc        1.000000  1.000000  1.000000  1.000000  1.000000  1.000000  0.000000
train_auc        1.000000  1.000000  1.000000  1.000000  1.000000  1.000000  0.000000
train_f1         1.000000  1.000000  1.000000  1.000000  1.000000  1.000000  0.000000
train_precision  1.000000  1.000000  1.000000  1.000000  1.000000  1.000000  0.000000
train_recall     1.000000  1.000000  1.000000  1.000000  1.000000  1.000000  0.000000
val_acc          0.941496  0.936748  0.940524  0.944064  0.944536  0.941474  0.002805
val_auc          0.978970  0.980187  0.981484  0.983100  0.982858  0.981320  0.001573
val_f1           0.928365  0.922855  0.927503  0.931483  0.932529  0.928547  0.003406
val_precision    0.925158  0.916000  0.920091  0.928530  0.923252  0.922606  0.004289
val_recall       0.931594  0.929814  0.935035  0.934455  0.941995  0.934579  0.004167
