../saved_models/lr_tfidf
CV round                0         1         2         3         4      mean       std
train_acc        0.994572  0.994749  0.993982  0.994513  0.994513  0.994466  0.000257
train_auc        0.999826  0.999763  0.999819  0.999764  0.999816  0.999798  0.000028
train_f1         0.993306  0.993528  0.992577  0.993234  0.993233  0.993176  0.000318
train_precision  0.996787  0.996644  0.996348  0.996787  0.996933  0.996700  0.000198
train_recall     0.989849  0.990431  0.988836  0.989706  0.989561  0.989676  0.000514
val_acc          0.947157  0.943120  0.946188  0.952797  0.948076  0.947468  0.003143
val_auc          0.986710  0.986054  0.986631  0.988477  0.987455  0.987065  0.000835
val_f1           0.933531  0.928593  0.933020  0.940582  0.934795  0.934104  0.003856
val_precision    0.956231  0.949122  0.945238  0.964068  0.955758  0.954083  0.006480
val_recall       0.911884  0.908933  0.921114  0.918213  0.914733  0.914975  0.004343
