../saved_models/lr_tfidfnb
CV round                0         1         2         3         4      mean       std
train_acc        0.974510  0.975162  0.974336  0.973864  0.974395  0.974454  0.000417
train_auc        0.996566  0.996629  0.996464  0.996614  0.996588  0.996572  0.000058
train_f1         0.968315  0.969146  0.968064  0.967520  0.968130  0.968235  0.000527
train_precision  0.979668  0.979846  0.980518  0.978641  0.980806  0.979896  0.000754
train_recall     0.957222  0.958678  0.955923  0.956648  0.955778  0.956850  0.001052
val_acc          0.957537  0.946188  0.952089  0.954449  0.956809  0.953414  0.004088
val_auc          0.990430  0.988619  0.990551  0.990922  0.991065  0.990317  0.000880
val_f1           0.946429  0.932384  0.939923  0.942336  0.945778  0.941370  0.005075
val_precision    0.972477  0.953883  0.959517  0.971657  0.966687  0.964844  0.007164
val_recall       0.921739  0.911833  0.921114  0.914733  0.925754  0.919035  0.005043
