../saved_models/lrbagging_cntvec
CV round                0         1         2         3         4      mean       std
train_acc        0.999469  0.999410  0.999528  0.999292  0.999469  0.999434  0.000080
train_auc        0.999989  0.999990  0.999991  0.999989  0.999999  0.999992  0.000004
train_f1         0.999348  0.999275  0.999420  0.999130  0.999348  0.999304  0.000098
train_precision  0.998986  0.999130  0.998986  0.998841  0.998841  0.998957  0.000108
train_recall     0.999710  0.999420  0.999855  0.999420  0.999855  0.999652  0.000197
val_acc          0.936306  0.936748  0.941940  0.945244  0.946188  0.941285  0.004136
val_auc          0.982568  0.983984  0.984414  0.986299  0.985228  0.984499  0.001247
val_f1           0.921965  0.922722  0.929107  0.932754  0.934370  0.928183  0.005070
val_precision    0.919308  0.917431  0.923253  0.932213  0.927429  0.923927  0.005383
val_recall       0.924638  0.928074  0.935035  0.933295  0.941415  0.932491  0.005796
