../saved_models/lrbagging_cntvecnb
CV round                0         1         2         3         4      mean       std
train_acc        0.999410  0.999410  0.999410  0.999469  0.999351  0.999410  0.000037
train_auc        0.999983  0.999982  0.999984  0.999985  0.999996  0.999986  0.000005
train_f1         0.999275  0.999275  0.999275  0.999348  0.999203  0.999275  0.000046
train_precision  0.998841  0.998841  0.998697  0.998697  0.998841  0.998783  0.000071
train_recall     0.999710  0.999710  0.999855  1.000000  0.999565  0.999768  0.000148
val_acc          0.960840  0.953033  0.959405  0.957045  0.959641  0.957993  0.002768
val_auc          0.989497  0.990892  0.991788  0.991820  0.991761  0.991151  0.000898
val_f1           0.951004  0.941591  0.949678  0.946122  0.950015  0.947682  0.003464
val_precision    0.968731  0.953060  0.958087  0.966143  0.957572  0.960719  0.005815
val_recall       0.933913  0.930394  0.941415  0.926914  0.942575  0.935042  0.006104
