../saved_models/mnb_cntvec
CV round                0         1         2         3         4      mean       std
train_acc        0.992329  0.992271  0.992035  0.992271  0.992507  0.992283  0.000151
train_auc        0.999455  0.999570  0.999609  0.999580  0.999601  0.999563  0.000056
train_f1         0.990498  0.990429  0.990140  0.990433  0.990722  0.990444  0.000186
train_precision  0.998526  0.998233  0.997645  0.997793  0.998380  0.998115  0.000340
train_recall     0.982599  0.982746  0.982746  0.983181  0.983181  0.982891  0.000243
val_acc          0.857985  0.848950  0.860515  0.847062  0.863819  0.855666  0.006550
val_auc          0.966714  0.961813  0.969951  0.965961  0.970341  0.966956  0.003096
val_f1           0.790827  0.774489  0.795714  0.771509  0.801922  0.786892  0.011914
val_precision    0.986990  0.986535  0.984602  0.983813  0.982338  0.984856  0.001724
val_recall       0.659710  0.637471  0.667633  0.634571  0.677494  0.655376  0.016803
