../saved_models/rf_cntvec
CV round                0         1         2         3         4      mean           std
train_acc        0.999823  0.999764  0.999705  0.999764  0.999941  0.999799  8.002626e-05
train_auc        1.000000  1.000000  0.999999  1.000000  1.000000  1.000000  1.967799e-07
train_f1         0.999782  0.999710  0.999637  0.999710  0.999927  0.999753  9.835693e-05
train_precision  1.000000  0.999855  0.999855  0.999855  1.000000  0.999913  7.105462e-05
train_recall     0.999565  0.999565  0.999420  0.999565  0.999855  0.999594  1.420637e-04
val_acc          0.916962  0.913618  0.916450  0.914798  0.920463  0.916458  2.328526e-03
val_auc          0.973045  0.966224  0.970212  0.972067  0.973244  0.970958  2.599358e-03
val_f1           0.896835  0.893357  0.896005  0.893604  0.900619  0.896084  2.635343e-03
val_precision    0.906935  0.897541  0.907738  0.908328  0.916017  0.907312  5.875416e-03
val_recall       0.886957  0.889211  0.884571  0.879350  0.885731  0.885164  3.288290e-03
