../saved_models/svmlinear_cntvec
CV round                0         1         2         3         4      mean           std
train_acc        1.000000  1.000000  1.000000  1.000000  1.000000  1.000000  0.000000e+00
train_auc        1.000000  1.000000  1.000000  1.000000  1.000000  1.000000  4.965068e-17
train_f1         1.000000  1.000000  1.000000  1.000000  1.000000  1.000000  0.000000e+00
train_precision  1.000000  1.000000  1.000000  1.000000  1.000000  1.000000  0.000000e+00
train_recall     1.000000  1.000000  1.000000  1.000000  1.000000  1.000000  0.000000e+00
val_acc          0.926870  0.921171  0.929667  0.931319  0.934152  0.928636  4.416710e-03
val_auc          0.971223  0.972511  0.974565  0.976049  0.977182  0.974306  2.195664e-03
val_f1           0.910508  0.903468  0.914564  0.915920  0.919943  0.912881  5.588704e-03
val_precision    0.906843  0.900346  0.904195  0.912493  0.910278  0.906831  4.311572e-03
val_recall       0.914203  0.906613  0.925174  0.919374  0.929814  0.919035  8.144498e-03
