../saved_models/svmlinear_tfidf
CV round                0         1    ...         mean       std
train_acc        0.996932  0.996637    ...     0.996908  0.000169
train_auc        0.999946  0.999856    ...     0.999890  0.000031
train_f1         0.996224  0.995860    ...     0.996195  0.000209
train_precision  0.997673  0.997672    ...     0.997731  0.000148
train_recall     0.994780  0.994055    ...     0.994664  0.000444
val_acc          0.955886  0.953741    ...     0.955397  0.001683
val_auc          0.990552  0.990648    ...     0.990874  0.000504
val_f1           0.945274  0.942589    ...     0.944744  0.001970
val_precision    0.954492  0.952071    ...     0.952625  0.004808
val_recall       0.936232  0.933295    ...     0.937014  0.002529

[10 rows x 7 columns]
