../saved_models/svmlinear_tfidfnb
CV round                0         1    ...         mean       std
train_acc        0.975808  0.975811    ...     0.975893  0.000382
train_auc        0.996623  0.996646    ...     0.996612  0.000083
train_f1         0.970199  0.970203    ...     0.970301  0.000466
train_precision  0.972603  0.972607    ...     0.972832  0.000707
train_recall     0.967807  0.967812    ...     0.967782  0.000462
val_acc          0.960604  0.951617    ...     0.958370  0.003431
val_auc          0.991208  0.990150    ...     0.991335  0.000634
val_f1           0.951041  0.940251    ...     0.948375  0.004134
val_precision    0.962040  0.944933    ...     0.957382  0.007019
val_recall       0.940290  0.935615    ...     0.939566  0.003925

[10 rows x 7 columns]
